x,y,z,c
-7.727473,1.952037,-2.454272,0.000000
-1.520507,-6.587794,-0.834028,0.000000
5.217453,-4.795063,-1.993570,0.000000
6.361592,-3.846578,-1.767241,0.000000
5.034005,-4.788662,-1.984213,0.000000
-1.629052,-6.434846,-0.664514,0.000000
5.723998,-4.214561,-1.988998,0.000000
-0.508362,-5.829535,-4.830596,0.000000
-0.819826,-6.672546,-1.083232,0.000000
6.117523,-3.782335,-2.655884,0.000000
-0.457894,-5.825071,-0.605424,0.000000
-0.637429,-6.406160,-0.710217,0.000000
-0.041611,-6.057131,-1.199286,0.000000
-1.537819,-3.283989,1.639296,0.000000
-0.973009,-3.817296,1.550987,0.000000
0.159158,-6.179336,-1.691744,0.000000
0.242858,-2.280476,0.743590,0.000000
-0.470514,-5.854138,-0.623104,0.000000
-0.507602,-5.830137,-4.829398,0.000000
-1.642761,-2.700643,2.176473,0.000000
-0.887592,-3.734865,1.571073,0.000000
3.107758,-4.899988,-2.796524,0.000000
-0.608221,-6.534356,-0.897952,0.000000
5.849427,-3.957253,-2.698414,0.000000
-1.420340,-3.270700,1.464048,0.000000
-1.587481,-3.752743,1.577039,0.000000
0.531499,-4.255288,0.819983,0.000000
3.867576,-0.580893,-3.181482,0.000000
2.619934,-0.149733,-5.964297,0.000000
2.132744,-0.146531,-5.794872,0.000000
-0.658789,-6.688066,-1.144476,0.000000
5.820458,-4.135708,0.269091,0.000000
-0.915673,-5.131838,-2.579484,0.000000
-5.109418,-1.070921,-3.660974,0.000000
0.125684,-2.057544,-4.784092,0.000000
0.270010,-2.643010,-4.744606,0.000000
-1.156246,-3.696744,0.254065,0.000000
-0.373830,-3.004051,-3.445751,0.000000
0.131477,-2.301635,-4.641460,0.000000
0.114323,-0.538797,-4.512278,0.000000
-2.600309,-3.066520,3.692652,0.000000
-0.618039,-2.796678,-3.338368,0.000000
-0.846934,-2.703393,-3.319135,0.000000
0.135429,-2.397332,-4.600440,0.000000
-0.935320,-1.307130,-4.290000,0.000000
8.356061,-0.175193,2.024331,0.000000
2.070859,-0.461430,-3.799630,0.000000
1.551324,-0.743556,-3.717777,0.000000
-4.538243,-0.662987,-4.171948,0.000000
8.322419,-0.184094,1.996643,0.000000
1.398489,-2.480843,-4.074735,0.000000
-2.668196,-0.218128,1.457808,0.000000
0.306682,-2.874931,-4.656968,0.000000
-1.085585,-3.930524,0.585567,0.000000
0.464295,-3.806039,-4.139721,0.000000
0.081710,-3.124525,-4.128088,0.000000
-0.358039,-1.814853,1.930761,0.000000
-1.126104,-3.747433,-0.038576,0.000000
-0.091373,-1.380922,2.942357,0.000000
1.413774,-2.475644,-4.058748,0.000000
8.312417,-0.191547,1.991991,0.000000
-2.641572,-3.160984,3.636113,0.000000
-0.236904,-4.303995,-2.986197,0.000000
-0.550970,-0.724476,-3.960792,0.000000
-0.105006,-1.247466,3.154091,0.000000
-0.724400,-0.672070,-4.365279,0.000000
0.311815,-2.858437,-4.698816,0.000000
-0.599395,-2.075189,-3.667606,0.000000
-0.513180,-0.732580,-4.056633,0.000000
-6.982018,-0.794734,-2.861785,0.000000
-0.026613,-1.959499,-4.653062,0.000000
-0.936147,-5.207611,-2.468760,0.000000
-0.856482,-1.151398,-4.258399,0.000000
-0.607506,-1.522098,-4.035616,0.000000
1.939996,-4.045781,-2.992140,0.000000
0.097494,-2.056839,-4.811930,0.000000
-4.758117,-1.118012,-3.939957,0.000000
-2.505975,-0.330531,1.478938,0.000000
-0.571362,-0.582848,-4.354792,0.000000
1.764631,-0.500212,-3.591400,0.000000
0.211558,-2.013956,-4.813369,0.000000
-1.783092,-1.757365,4.586079,0.000000
-0.120633,-4.231892,-3.051500,0.000000
-0.800262,-2.549193,-3.379705,0.000000
-8.004524,0.891904,-2.198668,0.000000
-4.567871,-0.812677,-4.144239,0.000000
0.448102,-3.782105,-4.133671,0.000000
-0.358369,-1.750279,1.977431,0.000000
-0.437265,-0.628402,-4.055042,0.000000
-4.584201,-1.176864,-4.022793,0.000000
0.122508,-0.577656,-4.497375,0.000000
-2.547208,-0.170831,1.471697,0.000000
0.220492,-1.724478,-4.826597,0.000000
-0.502852,-1.775513,-4.085466,0.000000
-2.662966,-3.154266,3.585147,0.000000
-0.017563,-4.409933,-2.819267,0.000000
-2.597042,0.506303,1.783334,0.000000
-0.219371,-1.135933,3.588444,0.000000
-1.103274,-3.853366,0.673416,0.000000
-2.802885,-3.868579,2.956721,0.000000
0.332851,-3.136450,-4.559382,0.000000
-1.483308,-1.398370,4.617004,0.000000
0.086759,-2.075138,-4.826953,0.000000
2.082465,-0.457768,-3.801660,0.000000
-0.100464,-1.344450,2.988432,0.000000
0.106461,-2.109039,-4.737786,0.000000
-0.852733,-2.735262,-3.306928,0.000000
-1.225665,-3.890709,0.963645,0.000000
-2.278318,-0.499744,1.288862,0.000000
-7.360023,-0.384645,-2.661378,0.000000
-4.705271,-1.114292,-4.009956,0.000000
-2.682060,-4.277949,2.750101,0.000000
-0.829552,-1.104909,-4.259695,0.000000
-0.609847,-2.217786,-3.478582,0.000000
-1.871860,-1.942905,4.605304,0.000000
-2.529085,-0.199799,1.565790,0.000000
-0.226031,-0.525044,-4.293052,0.000000
-0.514093,-0.641838,-4.056390,0.000000
-0.231279,-4.320941,-2.973579,0.000000
-2.257737,-0.541890,1.287089,0.000000
-0.555428,-1.740389,-4.135013,0.000000
8.241881,-0.253756,1.969813,0.000000
0.332647,-2.923241,-4.689680,0.000000
-0.132629,-4.363626,-2.926458,0.000000
0.100947,-2.056624,-4.773043,0.000000
-5.168315,-1.042996,-3.618431,0.000000
-0.816559,-0.971202,4.069606,0.000000
-0.873386,-1.193090,-4.277592,0.000000
0.416527,-3.758656,-4.118051,0.000000
-1.108065,-3.692956,0.737757,0.000000
-0.146342,-0.953674,3.689744,0.000000
8.345153,-0.173512,2.009476,0.000000
2.957681,-2.835214,-0.049536,1.000000
3.075341,-1.381031,-3.331422,1.000000
7.059461,-2.799026,-0.882794,1.000000
-0.944355,7.581628,-2.319024,1.000000
4.754184,2.559432,-0.196142,1.000000
2.667929,-1.753947,-3.621180,1.000000
-2.165457,6.645762,-2.211784,1.000000
5.755039,1.343929,-2.974808,1.000000
0.212233,-3.838230,3.393363,1.000000
3.576699,3.110379,0.890970,1.000000
0.052587,6.670274,3.137841,1.000000
3.586264,-1.815450,-1.837926,1.000000
3.393781,-0.822368,-4.266910,1.000000
3.083740,-1.552785,-3.103160,1.000000
3.300659,-2.138820,-1.058415,1.000000
0.143989,6.693577,3.322174,1.000000
3.699405,0.839311,-2.255864,1.000000
5.457003,3.553020,1.148308,1.000000
2.973725,-1.725014,-3.209798,1.000000
3.399752,-0.928756,-4.373145,1.000000
1.799691,-1.890590,-1.483283,1.000000
-3.671292,4.644893,-4.004427,1.000000
4.377768,0.592607,-2.352953,1.000000
-0.916042,7.671700,-2.308922,1.000000
1.510879,-1.148384,-1.685192,1.000000
4.985370,-0.745531,-0.821792,1.000000
3.079279,-1.763617,-2.936554,1.000000
2.747467,2.096764,-4.034692,1.000000
4.749195,1.723676,-0.525937,1.000000
5.686589,5.058416,3.867974,1.000000
3.578478,-1.857007,-1.490703,1.000000
2.611930,-1.718608,-3.741232,1.000000
-2.457828,6.703622,-2.150373,1.000000
2.498975,-2.385522,-2.800811,1.000000
6.500006,-3.719979,-1.693518,1.000000
5.579001,-3.851093,-3.122975,1.000000
3.170978,-3.705842,1.020499,1.000000
4.688109,-0.122634,-1.143186,1.000000
3.068585,-1.722924,-2.137399,1.000000
1.937096,-2.191092,-2.025987,1.000000
1.709777,-2.407660,-1.112986,1.000000
3.610994,-1.868394,-0.871788,1.000000
1.791606,-1.524953,-1.445860,1.000000
3.402484,-0.058102,-3.771927,1.000000
5.687316,0.757206,-2.811262,1.000000
3.128621,-2.308468,-3.808209,1.000000
3.348140,-1.961219,-1.746183,1.000000
5.567156,5.160970,4.161504,1.000000
1.906867,-2.231039,-1.810543,1.000000
3.752580,-1.766985,-2.174178,1.000000
5.800596,3.667825,0.120570,1.000000
5.696869,5.035288,3.865118,1.000000
2.616328,-2.382797,-2.944182,1.000000
3.396412,-2.141117,-1.074230,1.000000
-3.566832,4.046918,-3.318765,1.000000
1.763189,-4.891707,-2.283967,1.000000
3.374611,-0.929880,-4.416993,1.000000
3.220764,-1.932386,-2.555357,1.000000
3.995130,-1.799382,-1.885011,1.000000
3.049481,-2.287719,-3.645238,1.000000
4.778568,1.582723,-0.576403,1.000000
4.984798,-0.849109,-3.699614,1.000000
0.675626,-5.576299,1.909913,1.000000
-2.754242,2.661343,0.593425,1.000000
4.088115,-1.765431,-1.988009,1.000000
3.315135,-4.021406,-0.911143,1.000000
3.581295,-2.306309,-4.128619,1.000000
3.064427,-2.196571,-3.610531,1.000000
2.147497,-3.592948,-0.508275,1.000000
2.855157,-1.430228,-3.655335,1.000000
2.022218,-2.255695,-2.163601,1.000000
-2.808832,2.728913,0.418767,1.000000
5.317502,3.470275,1.162500,1.000000
6.888928,-2.832171,0.475575,1.000000
5.576888,5.137160,4.082958,1.000000
-0.561611,1.910232,-2.387479,1.000000
1.842031,-1.878675,-1.438357,1.000000
-2.969518,1.479574,-1.969333,1.000000
1.744274,-1.402281,-1.489899,1.000000
1.774151,-1.472868,-1.466383,1.000000
3.527908,-2.313725,-1.377383,1.000000
1.824545,-2.115489,-1.460928,1.000000
4.727882,-0.299716,-1.696086,1.000000
0.619237,-5.242865,1.669943,1.000000
5.002097,-0.751044,-0.781349,1.000000
3.787302,6.831583,3.055502,1.000000
1.966143,-3.588161,-0.602102,1.000000
4.207419,0.662496,-2.543675,1.000000
3.070052,-1.730282,-2.121565,1.000000
1.818857,-1.970581,-1.852714,1.000000
3.574242,-2.267176,-4.193901,1.000000
2.822117,-2.446750,-3.185968,1.000000
5.900684,5.199880,2.617853,1.000000
-2.969414,1.478973,-1.970266,1.000000
-2.946528,1.430431,-2.030728,1.000000
5.892279,5.195617,2.638539,1.000000
-2.886708,1.486009,-1.947507,1.000000
-3.516403,4.162183,-3.350986,1.000000
3.140481,-1.322838,-3.328935,1.000000
-2.956199,1.434695,-2.029042,1.000000
3.367082,4.671686,1.576132,1.000000
5.574477,4.412994,0.516191,1.000000
-1.090159,6.328959,1.725771,1.000000
3.209424,4.186420,1.807651,1.000000
2.130780,6.841320,-0.546294,1.000000
3.786640,-0.331640,-1.033516,1.000000
1.704097,8.398803,0.573296,1.000000
1.662045,8.370501,1.371901,1.000000
3.446245,4.768036,1.559001,1.000000
1.493471,8.321372,1.570607,1.000000
3.307528,0.370430,-1.235557,1.000000
-0.770340,3.996896,-2.421850,1.000000
3.509257,1.412528,-0.662123,1.000000
0.950251,7.526011,1.860953,1.000000
3.633532,4.751367,1.445860,1.000000
0.802435,7.287192,-0.233146,1.000000
3.248854,4.408662,1.890522,1.000000
1.733242,8.395342,0.598118,1.000000
2.185700,4.182116,1.606291,1.000000
2.863395,3.937619,1.619499,1.000000
1.313326,6.009019,-0.264328,1.000000
3.510234,1.116023,-0.737848,1.000000
-0.154230,6.424790,2.145472,1.000000
3.736108,0.860548,-2.079321,1.000000
-0.322634,6.596522,-0.246079,1.000000
1.361639,6.099529,-0.275251,1.000000
3.255268,0.163175,-1.005145,1.000000
1.598435,6.986052,-1.129734,1.000000
1.789454,5.889085,1.925682,1.000000
-0.945312,-1.264936,2.566379,1.000000
3.863196,-0.068727,-1.085536,1.000000
3.394660,0.179041,-0.695861,1.000000
1.850727,-1.022577,-1.312018,1.000000
1.838623,7.407679,-2.587142,1.000000
6.250513,2.131280,-3.319833,1.000000
3.010265,4.061959,1.215322,1.000000
1.590635,-1.126466,-1.532997,1.000000
1.629197,7.884068,0.150348,1.000000
3.645982,0.847111,-2.330564,1.000000
-0.214292,6.249486,2.317856,1.000000
3.304234,5.035647,1.730677,1.000000
0.877425,7.243239,-0.116563,1.000000
1.660514,-1.154091,-1.496520,1.000000
-0.209109,6.344255,2.299079,1.000000
3.069285,4.326684,1.713493,1.000000
-0.780545,-0.933052,2.498483,1.000000
3.084546,-2.503754,0.911675,1.000000
1.285656,6.047724,-0.315707,1.000000
7.603041,1.263586,-3.228375,1.000000
1.264182,6.975500,-0.023400,1.000000
0.441750,8.191914,-0.785386,1.000000
-0.218209,6.249610,2.307625,1.000000
3.276540,4.516195,1.768588,1.000000
1.589708,8.392227,1.383045,1.000000
1.624623,7.894515,0.239307,1.000000
3.266790,1.344840,-2.261051,1.000000
2.286564,6.898201,-0.499327,1.000000
3.583852,0.040068,-0.499469,1.000000
1.595891,8.402818,1.343601,1.000000
3.926206,0.080654,-0.409387,1.000000
2.281544,5.613610,2.380547,1.000000
1.634315,8.189551,-0.936363,1.000000
4.102092,2.376751,-1.129400,1.000000
3.556340,1.080396,-0.919342,1.000000
1.690039,6.892389,-1.059003,1.000000
2.859257,-0.897605,1.318594,1.000000
1.865623,7.616211,1.613016,1.000000
2.666824,7.471640,1.475866,1.000000
1.667982,8.427223,1.362091,1.000000
3.526293,0.145579,-0.765210,1.000000
1.040490,7.584683,1.850934,1.000000
1.792716,7.827219,1.673888,1.000000
1.945338,6.202425,0.087169,1.000000
3.578289,-0.062077,-0.438536,1.000000
1.283067,6.033459,-0.319673,1.000000
1.356667,7.324250,-1.718525,1.000000
3.568416,0.750120,-1.564706,1.000000
1.841214,-0.927490,-1.303265,1.000000
0.761813,8.155255,-0.922440,1.000000
3.115115,-2.681126,0.942883,1.000000
-0.191166,6.435379,2.153023,1.000000
1.621274,8.072485,0.212669,1.000000
2.961728,-0.851570,0.762092,1.000000
3.245653,1.371612,-2.256241,1.000000
0.293384,7.976202,-1.014720,1.000000
-0.148304,6.499185,2.071346,1.000000
3.222417,1.051744,-1.585176,1.000000
3.166278,1.469647,-2.000631,1.000000
1.308985,6.030000,-0.269176,1.000000
3.640144,0.522327,-1.119487,1.000000
4.429169,0.471041,-0.021442,1.000000
-1.053857,6.307008,1.743308,1.000000
2.243511,2.516671,-0.745586,1.000000
1.740600,8.402485,0.600334,1.000000
2.530263,6.798243,-0.129552,1.000000
1.635958,6.917679,-1.116765,1.000000
3.522497,1.469024,-0.638631,1.000000
3.440170,1.078697,-1.377761,1.000000
-0.117010,6.521854,2.172060,1.000000
3.503784,1.015738,-1.387295,1.000000
5.930493,-2.018878,2.788233,1.000000
0.470681,2.290317,-1.770878,1.000000
4.823194,-4.964543,5.704415,1.000000
-1.175480,-5.653654,3.410826,1.000000
6.599674,-2.884134,3.254157,1.000000
4.780248,-4.969149,5.692884,1.000000
-0.185035,3.681336,-0.297506,1.000000
-0.892224,-5.270877,4.637405,1.000000
6.881096,-1.765925,2.494448,1.000000
-1.200624,-5.617105,3.445083,1.000000
3.991609,-2.751279,1.961715,1.000000
-1.261532,-0.085251,-3.059951,1.000000
5.020299,0.896331,1.004853,1.000000
-0.256883,3.829303,-0.339441,1.000000
0.664820,4.117406,0.758652,1.000000
-1.076869,-5.004194,4.644909,1.000000
0.174172,-2.286559,-2.044257,1.000000
1.317427,7.233290,2.801199,1.000000
6.771254,-1.738654,2.784535,1.000000
7.557476,-0.063978,1.576280,1.000000
1.392379,0.175104,-1.631981,1.000000
-5.785662,0.363087,6.242680,1.000000
4.854910,-4.959971,5.713804,1.000000
1.618302,-6.994453,2.959211,1.000000
6.527088,-2.691249,3.129191,1.000000
-0.908825,-1.070391,-0.926102,1.000000
-3.552055,3.551414,6.093628,1.000000
4.011333,-2.457683,2.643991,1.000000
0.357475,2.224126,-1.609850,1.000000
6.115026,-1.843988,2.662610,1.000000
4.804782,-4.996847,5.721875,1.000000
0.249953,-6.469246,4.540777,1.000000
-0.187556,3.160669,0.919971,1.000000
0.004706,2.083471,-1.491657,1.000000
-5.817697,0.409949,6.250066,1.000000
2.396399,-4.325124,1.814927,1.000000
0.149386,-6.379652,4.575138,1.000000
6.881083,-1.720883,2.358352,1.000000
0.485538,2.287839,-1.718128,1.000000
3.742606,6.714439,1.760459,1.000000
0.173937,-2.288623,-2.044438,1.000000
-1.034897,-1.480607,-0.058409,1.000000
7.020645,-1.731635,2.165217,1.000000
-1.148561,-4.662695,4.691746,1.000000
-6.172296,1.094987,0.830797,1.000000
-3.559861,0.845318,3.417276,1.000000
0.101715,3.893357,0.861040,1.000000
-0.853863,4.492644,-1.599379,1.000000
0.737383,4.165858,0.663049,1.000000
-4.406724,-2.638295,0.878848,1.000000
0.164758,3.960264,0.587121,1.000000
4.783971,-4.989489,5.711039,1.000000
-1.660996,-0.295234,3.707075,1.000000
6.802380,-1.712097,2.796918,1.000000
-0.313326,2.301768,-3.342222,1.000000
0.478620,2.280518,-1.771067,1.000000
0.765493,4.174893,0.543180,1.000000
3.307763,-3.406044,3.003715,1.000000
-1.304607,-3.797343,4.544007,1.000000
-3.258068,-2.112021,-3.216750,1.000000
-1.528772,-4.989938,4.748459,1.000000
0.906252,4.000258,0.217544,1.000000
-1.125550,-4.656272,4.440732,1.000000
1.431621,-4.551477,2.367249,1.000000
0.041751,3.882100,0.214978,1.000000
-5.436000,-1.670320,-3.053121,1.000000
0.603539,2.426561,-1.402124,1.000000
-0.069906,2.040296,-1.412595,1.000000
1.814936,-4.198810,1.183267,1.000000
-0.257005,2.970288,0.853173,1.000000
3.742285,-5.971716,3.353588,1.000000
-0.055876,3.041669,0.682325,1.000000
-0.396562,4.007568,-0.492311,1.000000
0.127961,3.217056,1.299684,1.000000
-3.558713,0.845624,3.425217,1.000000
-0.410737,4.033317,-0.518813,1.000000
0.940227,-1.246438,-3.213630,1.000000
-0.980918,-4.906340,4.304503,1.000000
-3.552104,3.551393,6.093600,1.000000
-3.071526,1.562707,6.771962,1.000000
-2.800127,0.125655,0.729546,1.000000
-2.707305,0.108933,0.753360,1.000000
4.992356,1.149659,0.880106,1.000000
6.244365,0.072082,3.125370,1.000000
-0.113020,3.725281,-0.179181,1.000000
1.889446,0.569947,-2.714780,1.000000
4.800022,-4.992413,5.716801,1.000000
-0.082405,3.737933,-0.112779,1.000000
4.785028,-4.963842,5.691392,1.000000
-1.151268,-2.133984,3.950442,1.000000
-2.737052,0.105548,0.748006,1.000000
0.671012,-6.005566,3.830032,1.000000
5.953085,-2.539444,3.088813,1.000000
0.608588,4.131182,0.706249,1.000000
-1.378711,-3.954178,4.459772,1.000000
-0.325363,2.415415,0.578241,1.000000
0.896481,4.125619,0.448375,1.000000
0.793438,4.170667,0.510288,1.000000
-1.201929,-4.682085,4.501170,1.000000
0.960358,4.084834,0.356286,1.000000
2.027868,5.435340,2.067996,1.000000
3.962153,-5.088197,1.440429,1.000000
-0.407683,7.009171,-0.686698,1.000000
-0.410844,7.081121,-0.986244,1.000000
-0.282929,6.634685,-0.411266,1.000000
3.072642,4.167960,1.469491,1.000000
1.550018,7.897424,0.144876,1.000000
2.120511,-2.144732,1.191599,1.000000
1.889835,-5.071436,3.474851,1.000000
0.154156,7.314744,0.437479,1.000000
3.008613,2.533260,-0.933478,1.000000
2.010913,8.170148,0.031583,1.000000
2.362459,5.402965,1.781501,1.000000
3.456970,7.800878,1.164495,1.000000
1.814686,2.613563,-0.738728,1.000000
-0.446380,-3.424375,2.442710,1.000000
1.677338,7.507114,1.184678,1.000000
2.950556,5.231536,1.567814,1.000000
2.033538,5.915769,1.713891,1.000000
3.903233,7.829714,1.064936,1.000000
-0.039075,-4.470090,2.028737,1.000000
2.354114,5.255543,1.753245,1.000000
2.075451,5.263733,1.785976,1.000000
1.726580,5.413859,2.208562,1.000000
8.147510,3.400387,-2.743544,1.000000
2.202892,5.480126,1.973161,1.000000
2.009641,8.168462,0.069069,1.000000
2.325846,5.484652,1.898481,1.000000
-0.492287,7.242440,-0.742653,1.000000
-0.633583,-1.830211,2.370491,1.000000
0.327344,7.999879,-0.972706,1.000000
3.137403,4.244291,1.696994,1.000000
1.671311,7.952055,1.577235,1.000000
6.407881,2.589258,-2.802542,1.000000
1.489546,7.033297,0.004941,1.000000
0.684032,6.504597,-1.324500,1.000000
1.708197,7.692354,1.403921,1.000000
7.998167,3.407837,-2.761076,1.000000
2.942101,5.040067,1.655937,1.000000
3.503169,7.736119,1.193092,1.000000
3.037999,8.104728,1.062738,1.000000
-0.430405,-2.999013,2.540769,1.000000
2.914196,5.771808,1.367754,1.000000
-0.083318,6.259221,-0.273642,1.000000
3.063703,2.556888,-0.626530,1.000000
1.924172,4.515971,1.907898,1.000000
1.682310,7.712756,1.465517,1.000000
-0.365220,7.089365,-0.859354,1.000000
-0.412016,7.019926,-0.699488,1.000000
0.070625,7.246203,0.525095,1.000000
-0.984835,7.367415,-2.217611,1.000000
5.270001,-2.282960,1.454748,1.000000
2.145261,-2.295928,1.195911,1.000000
0.052562,7.228520,0.500889,1.000000
-0.458233,-3.395094,2.151760,1.000000
1.660880,7.705035,1.165875,1.000000
2.108077,-2.156357,1.179219,1.000000
2.364666,5.370008,1.820014,1.000000
0.100906,7.332900,0.468139,1.000000
-5.062169,1.246569,-3.424304,1.000000
-0.267475,-3.687455,2.148750,1.000000
0.894613,7.818314,-1.063888,1.000000
-0.140484,6.334514,-0.313115,1.000000
-0.630042,-3.710885,2.346166,1.000000
-0.152265,-4.301016,2.031216,1.000000
-0.360683,6.713426,-0.108653,1.000000
4.508079,-1.541636,-1.243457,1.000000
1.916513,4.755940,1.937975,1.000000
-0.062963,6.237820,-0.269026,1.000000
-0.637760,-3.623125,2.343655,1.000000
0.384372,8.024154,-0.955916,1.000000
3.820767,2.875535,-0.783315,1.000000
8.327121,2.992666,-2.621925,1.000000
1.811574,7.482158,1.531106,1.000000
-0.370929,7.090312,-0.963381,1.000000
-0.307946,6.432007,-0.324501,1.000000
3.464095,7.871438,1.131528,1.000000
1.904511,4.405872,1.908759,1.000000
1.644953,8.016233,1.546549,1.000000
1.646326,2.666334,-0.523952,1.000000
5.416020,5.439091,-0.977038,1.000000
0.064980,7.352553,0.494286,1.000000
-0.445068,7.213921,-0.741953,1.000000
3.011999,2.580394,-0.610006,1.000000
1.543414,-5.250842,0.739993,1.000000
3.058749,8.080495,1.031407,1.000000
2.162509,5.320896,2.011380,1.000000
1.965031,6.077867,1.735847,1.000000
2.953865,5.090789,1.613924,1.000000
3.206181,4.819704,1.529784,1.000000
3.924951,7.822410,1.060230,1.000000
-0.409707,7.014702,-0.692370,1.000000
3.993516,-5.065593,1.420276,1.000000
3.435326,7.851116,1.148296,1.000000
3.079445,8.076297,1.047639,1.000000
1.900115,6.721682,1.707629,1.000000
0.079667,-4.650558,1.756376,1.000000
-5.216936,1.361834,-3.406738,1.000000
1.219483,7.305329,-1.667311,1.000000
3.867729,-5.998273,2.719806,1.000000
2.468898,8.118268,-2.634398,1.000000
7.017635,5.800744,-2.041072,1.000000
5.123418,4.058382,1.154220,1.000000
5.996738,5.232045,-1.689309,1.000000
0.643803,1.495507,1.865151,1.000000
4.627944,1.940294,-2.090777,1.000000
1.686556,7.368472,-3.409441,1.000000
4.588715,1.676827,-2.439862,1.000000
6.909955,5.826539,-2.002144,1.000000
5.091859,6.338238,-2.502019,1.000000
4.523736,2.122347,-2.654033,1.000000
5.168525,2.929027,0.361796,1.000000
-0.435057,3.595231,-2.925950,1.000000
-0.604970,6.329026,1.923283,1.000000
6.086969,6.992847,-1.571714,1.000000
5.976990,4.169824,-0.228709,1.000000
-0.638694,6.265374,1.953538,1.000000
-4.397691,-2.714663,0.857533,1.000000
-0.952811,5.949827,1.830657,1.000000
2.011731,7.703844,-3.473561,1.000000
6.258225,6.444539,-1.824259,1.000000
4.739296,1.938858,-2.383811,1.000000
-1.286149,-2.352198,3.980284,1.000000
6.970440,5.853611,-2.159223,1.000000
6.291305,6.294428,-2.215656,1.000000
6.290960,5.604784,-1.344857,1.000000
6.141114,6.710123,-1.638363,1.000000
6.362749,2.877407,-3.213864,1.000000
6.541258,5.834955,-1.615726,1.000000
5.443963,5.222564,0.325803,1.000000
7.041389,5.729576,-2.031866,1.000000
6.021617,5.852333,-1.691006,1.000000
6.140457,5.298304,-1.323031,1.000000
3.315013,-1.865508,-2.491528,1.000000
-0.525226,3.688079,-2.769904,1.000000
2.959028,-0.448324,-2.254112,1.000000
-0.978018,5.947365,1.818150,1.000000
6.818772,2.219808,-4.251453,1.000000
3.051930,-0.456139,-2.469195,1.000000
6.023113,5.852561,-1.691552,1.000000
6.251244,6.079523,-1.688117,1.000000
6.451363,5.898096,-1.707546,1.000000
3.049186,-2.564336,1.024137,1.000000
2.764188,6.514571,-4.710594,1.000000
6.466437,-2.754495,1.229452,1.000000
2.470434,8.140660,-2.606729,1.000000
3.747827,3.714454,2.054980,1.000000
7.242766,5.645955,-2.292492,1.000000
3.377902,3.652470,2.077343,1.000000
4.700763,-0.788345,-1.686402,1.000000
6.077382,6.089476,-1.927525,1.000000
6.244665,6.046157,-1.794829,1.000000
